city_slug,year_month,recalc_mean_price_usd,recalc_n_listing_days,mean_price_usd,n_listing_days,abs_mean_price_diff,n_listing_days_diff
austin,2025-06,380.70688589095,462540,380.70688589095,462540,0.0,0
austin,2025-07,380.70708932584034,477958,380.70708932584034,477958,0.0,0
austin,2025-08,380.7075517095644,477958,380.7075517095644,477958,0.0,0
austin,2025-09,380.68729190988887,462540,380.68729190988887,462540,0.0,0
austin,2025-10,380.68544307240387,477958,380.68544307240387,477958,0.0,0
austin,2025-11,380.58797509404593,462540,380.58797509404593,462540,0.0,0
austin,2025-12,380.4953949928655,15418,380.4953949928655,15418,0.0,0
boston,2025-06,249.61138725711703,132780,249.61138725711703,132780,0.0,0
boston,2025-07,249.61138725711703,137206,249.61138725711703,137206,0.0,0
boston,2025-08,249.61138725711703,137206,249.61138725711703,137206,0.0,0
boston,2025-09,249.61138725711703,132780,249.61138725711703,132780,0.0,0
boston,2025-10,249.61138725711703,137206,249.61138725711703,137206,0.0,0
boston,2025-11,249.61138725711703,132780,249.61138725711703,132780,0.0,0
boston,2025-12,249.61138725711703,4426,249.61138725711703,4426,0.0,0
chicago,2025-06,542.5947145635511,262230,542.5947145635511,262230,0.0,0
chicago,2025-07,542.5994885061501,270971,542.5994885061501,270971,0.0,0
chicago,2025-08,542.7876488627934,270971,542.7876488627934,270971,0.0,0
chicago,2025-09,542.7671891087977,262230,542.7671891087977,262230,0.0,0
chicago,2025-10,542.7825339242945,270971,542.7825339242945,270971,0.0,0
chicago,2025-11,542.7989017274912,262230,542.7989017274912,262230,0.0,0
chicago,2025-12,542.7671891087977,8741,542.7671891087977,8741,0.0,0
los-angeles,2025-06,383.3698900195521,1350240,383.3698900195521,1350240,0.0,0
los-angeles,2025-07,383.5481654229212,1395248,383.5481654229212,1395248,0.0,0
los-angeles,2025-08,383.4243042885566,1395248,383.4243042885566,1395248,0.0,0
los-angeles,2025-09,383.11850063692384,1350240,383.11850063692384,1350240,0.0,0
los-angeles,2025-10,382.94316616830844,1395248,382.94316616830844,1395248,0.0,0
los-angeles,2025-11,383.0492796095509,1350240,383.0492796095509,1350240,0.0,0
los-angeles,2025-12,382.8536129132599,45008,382.8536129132599,45008,0.0,0
new-york-city,2025-06,381.77727770652984,1122840,381.77727770652984,1122840,0.0,0
new-york-city,2025-07,381.77727770652984,1160268,381.77727770652984,1160268,0.0,0
new-york-city,2025-08,381.77727770652984,1160268,381.77727770652984,1160268,0.0,0
new-york-city,2025-09,381.77727770652984,1122840,381.77727770652984,1122840,0.0,0
new-york-city,2025-10,381.77727770652984,1160268,381.77727770652984,1160268,0.0,0
new-york-city,2025-11,381.77727770652984,1122840,381.77727770652984,1122840,0.0,0
new-york-city,2025-12,381.77727770652984,37428,381.77727770652984,37428,0.0,0
san-francisco,2025-06,468.93800051170524,234510,468.93800051170524,234510,0.0,0
san-francisco,2025-07,468.93800051170524,242327,468.93800051170524,242327,0.0,0
san-francisco,2025-08,468.93800051170524,242327,468.93800051170524,242327,0.0,0
san-francisco,2025-09,468.93800051170524,234510,468.93800051170524,234510,0.0,0
san-francisco,2025-10,468.93800051170524,242327,468.93800051170524,242327,0.0,0
san-francisco,2025-11,468.93800051170524,234510,468.93800051170524,234510,0.0,0
san-francisco,2025-12,468.9380005117053,7817,468.9380005117053,7817,0.0,0
seattle,2025-06,235.1136083998817,202860,235.1136083998817,202860,0.0,0
seattle,2025-07,235.11360839988168,209622,235.11360839988168,209622,0.0,0
seattle,2025-08,235.11360839988168,209622,235.11360839988168,209622,0.0,0
seattle,2025-09,235.1136083998817,202860,235.1136083998817,202860,0.0,0
seattle,2025-10,235.11360839988168,209622,235.11360839988168,209622,0.0,0
seattle,2025-11,235.1136083998817,202860,235.1136083998817,202860,0.0,0
seattle,2025-12,235.11360839988168,6762,235.11360839988168,6762,0.0,0
washington-dc,2025-06,401.61049860128355,182310,401.61049860128355,182310,0.0,0
washington-dc,2025-07,401.61049860128355,188387,401.61049860128355,188387,0.0,0
washington-dc,2025-08,401.61049860128355,188387,401.61049860128355,188387,0.0,0
washington-dc,2025-09,401.61049860128355,182310,401.61049860128355,182310,0.0,0
washington-dc,2025-10,401.61049860128355,188387,401.61049860128355,188387,0.0,0
washington-dc,2025-11,401.61049860128355,182310,401.61049860128355,182310,0.0,0
washington-dc,2025-12,401.61049860128355,6077,401.61049860128355,6077,0.0,0
