city_slug,window_months,n_obs_pre,n_obs_post,mean_price_diff_post_minus_pre,median_price_diff_post_minus_pre,p90_price_diff_post_minus_pre,mean_log_price_diff_post_minus_pre,median_log_price_diff_post_minus_pre
austin,1,477958,477958,-0.023453943651929876,0.0,0.0,-1.1620649362775737e-05,0.0
austin,2,955916,955916,-0.02228961540555474,0.0,0.0,-1.3287510020276727e-05,0.0
austin,3,1418456,1418456,-0.05498161381109412,0.0,0.0,-2.9866123809618728e-05,0.0
boston,1,137206,137206,0.0,0.0,0.0,0.0,0.0
boston,2,274412,274412,0.0,0.0,0.0,0.0,0.0
boston,3,407192,407192,0.0,0.0,0.0,-2.6645352591003757e-15,0.0
chicago,1,270971,270971,-0.02045975399573763,0.0,0.0,-6.897568977315416e-06,0.0
chicago,2,541942,541942,0.08129283207426852,0.0,0.0,1.5797997150457377e-05,0.0
chicago,3,804172,804172,0.12136707072625086,0.0,0.0,2.5522906088149e-05,0.0
los-angeles,1,1395248,1395248,-0.3135048392830413,0.0,0.0,-0.00016194553492976382,0.0
los-angeles,2,2790496,2790496,-0.45474818813568163,0.0,0.0,-0.0001989370796184886,0.0
los-angeles,3,4140736,4140736,-0.4143270664925467,0.0,0.0,-0.00018211187884276114,0.0
new-york-city,1,1160268,1160268,0.0,0.0,0.0,-8.881784197001252e-16,0.0
new-york-city,2,2320536,2320536,0.0,0.0,0.0,0.0,0.0
new-york-city,3,3443376,3443376,0.0,0.0,0.0,-4.440892098500626e-15,0.0
san-francisco,1,242327,242327,0.0,0.0,0.0,0.0,0.0
san-francisco,2,484654,484654,0.0,0.0,0.0,0.0,0.0
san-francisco,3,719164,719164,0.0,0.0,0.0,0.0,0.0
seattle,1,209622,209622,0.0,0.0,0.0,0.0,0.0
seattle,2,419244,419244,0.0,0.0,0.0,0.0,0.0
seattle,3,622104,622104,0.0,0.0,0.0,0.0,0.0
washington-dc,1,188387,188387,0.0,0.0,0.0,0.0,0.0
washington-dc,2,376774,376774,0.0,0.0,0.0,0.0,0.0
washington-dc,3,559084,559084,0.0,0.0,0.0,0.0,0.0
