city_slug,window_months,n_obs,second_stage_coef_available_hat,second_stage_se_available_hat,second_stage_t_available_hat,second_stage_p_available_hat,second_stage_ci95_low,second_stage_ci95_high
austin,1,955916,0.19066183175891638,1.4250122588546847,0.13379662566001763,0.8935633955382682,-2.6023621955962657,2.9836858591140984
austin,2,1911832,-0.007620441694598412,0.04206058923878228,-0.1811777208192777,0.8562280814064618,-0.09005919660261168,0.07481831321341485
austin,3,2836912,-0.004392614162497921,0.052674488507297126,-0.08339168138081496,0.9335401027703443,-0.10763461163680028,0.09884938331180444
boston,1,274412,0.019498354115057737,0.21623938656337427,0.0901702248833529,0.9281519450180284,-0.4043308435491558,0.4433275517792713
boston,2,548824,-0.032838231418281794,0.2519690981353567,-0.13032642360231508,0.8963081753387734,-0.5266976637635808,0.46102120092701726
boston,3,814384,-0.04361189529299736,0.5450496450515261,-0.08001453755441768,0.9362256937469311,-1.1119091995939885,1.0246854090079938
chicago,1,541942,0.005981755381071707,0.1107902283293673,0.05399172355966809,0.9569417582675557,-0.2111670921444882,0.22313060290663161
chicago,2,1083884,-0.11001890432089567,1.097697691455747,-0.10022696155531727,0.9201641415571125,-2.26150637957416,2.0414685709323686
chicago,3,1608344,-0.027212942019104958,0.2789296268804893,-0.09756203499589045,0.9222800723211355,-0.573915010704864,0.519489126666654
los-angeles,1,2790496,0.00034014341781585244,0.021715581594977613,0.015663564723245586,0.987502794568127,-0.04222239650834027,0.04290268334397197
los-angeles,2,5580992,0.001378767070491449,0.013176363929483561,0.10463941933224129,0.9166619342859661,-0.02444690623129633,0.027204440372279228
los-angeles,3,8281472,0.0026888069687629468,0.011944106650838743,0.22511578700397258,0.8218891999116997,-0.02072164206688099,0.026099256004406882
new-york-city,1,2320536,0.0035236657167843077,0.04352606018144273,0.08095531049894145,0.9354774928520166,-0.08178741223884343,0.08883474367241205
new-york-city,2,4641072,0.0016914367806748487,0.025740042131067904,0.06571227708416631,0.9476068978416907,-0.048759045796218245,0.05214191935756794
new-york-city,3,6886752,-0.0016152002572198398,0.022610490542842625,-0.07143587858739019,0.9430508555535368,-0.045931761721191386,0.042701361206751706
san-francisco,1,484654,-0.004700451636381331,0.06397387309278907,-0.07347455154956299,0.941428494248898,-0.13008924289824791,0.12068833962548525
san-francisco,2,969308,-0.004155950243330153,0.036343037233908644,-0.11435341016167422,0.9089576449512973,-0.07538830322179109,0.06707640273513078
san-francisco,3,1438328,-0.0065822455117086065,0.03194002775767614,-0.20608139609793222,0.8367273306285996,-0.06918469991675384,0.05602020889333663
seattle,1,419244,-0.01820534563739784,0.11131192137068766,-0.16355252351426888,0.8700834220438998,-0.23637671152394565,0.19996602024914997
seattle,2,838488,0.01902582886395976,0.14758043038269902,0.128918372270787,0.8974222390120745,-0.27023181468613033,0.30828347241404985
seattle,3,1244208,0.023437295574694872,0.4252788686961661,0.05511041648165991,0.9560504976055968,-0.8101092870697907,0.8569838782191804
washington-dc,1,376774,-0.015086039318703115,0.6339245927407652,-0.023797845187672573,0.9810138588550401,-1.257578241090603,1.2274061624531967
washington-dc,2,753548,-0.004219469086820027,0.05792595069069015,-0.07284246588115435,0.9419314778077257,-0.11775433244057272,0.10931539426693267
washington-dc,3,1118168,0.0001785067142918706,0.09234497987094464,0.0019330418885936194,0.9984576566822392,-0.18081765383275963,0.18117466726134338
